player_name,league,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
Brittany Boyd,WNBA,NY,23,175,71,UC Berkeley,US,,,,2,13,4,2.5,,0.38,0.63,,,,2016-2017
Crystal Langhorne,WNBA,SEA,30,188,84,Maryland,US,,,,30,12.3,5.8,1.5,,0.2,0.8,,,,2016-2017
Elena Delle Donne,WNBA,WAS,28,196,85,Delaware,US,,,,30,10.6,7.2,1.4,,0.46,0.54,,,,2016-2017
Aerial Powers,WNBA,DAL,23,183,71,Michigan State,US,,,,8,11.6,3.5,1.5,,0.21,0.79,,,,2016-2017
Allisha Gray,WNBA,DAL,24,185,76,South Carolina,US,,,,30,13.2,4.2,1.3,,0.41,0.59,,,,2016-2017
Brittney Sykes,WNBA,ATL,23,175,66,Rutgers,US,,,,30,13.2,4,2,,0.21,0.79,,,,2016-2017
Cappie Pondexter,WNBA,CHI,34,175,73,Rutgers,US,,,,24,10.4,2.9,4.3,,0.14,0.86,,,,2016-2017
Courtney Williams,WNBA,CON,22,173,62,South Florida,US,,,,29,12.9,4.2,2.1,,0.31,0.69,,,,2016-2017
Emma Meesseman,WNBA,WAS,24,193,83,Belgium,BE,,,,23,11.3,3.5,3,,0.28,0.72,,,,2016-2017
Kayla Alexander,WNBA,SAN,26,193,88,Arizona State,CA,,,,30,10.6,4,2.2,,0.38,0.63,,,,2016-2017
Briann January,WNBA,IND,29,173,65,Arizona State,US,,,,25,9.5,1.5,3.9,,0.32,0.68,,,,2016-2017
Erica Wheeler,WNBA,IND,26,170,65,Rutgers,US,,,,30,11.2,2.3,3.9,,0.16,0.84,,,,2016-2017
Jewell Loyd,WNBA,SEA,24,178,67,Notre Dame,US,,,,29,9.2,6.5,1.6,,0.26,0.74,,,,2016-2017
Kristi Toliver,WNBA,WAS,30,170,59,Maryland,US,,,,29,12,2,3.1,,0.15,0.85,,,,2016-2017
Krystal Thomas,WNBA,WAS,27,196,88,Duke,US,,,,29,6.9,9.3,1,,0.36,0.64,,,,2016-2017
Damiris Dantas,WNBA,ATL,24,191,89,Brazil,BR,,,,30,8.5,3.8,0.6,,0.26,0.74,,,,2016-2017
Danielle Robinson,WNBA,PHO,27,175,57,Oklahoma,US,,,,28,7.5,3.1,3.8,,0.15,0.85,,,,2016-2017
Dearica Hamby,WNBA,SAN,24,191,86,Wake Forest,US,,,,31,8.2,4.5,1,,0.35,0.65,,,,2016-2017
Lindsay Whalen,WNBA,MIN,34,175,78,Minnesota,US,,,,22,8,2.5,4.1,,0.15,0.85,,,,2016-2017
Alex Bentley,WNBA,CON,26,170,69,Penn State,US,,,,26,8.4,1.5,3,,0.1,0.9,,,,2016-2017
Alex Montgomery,WNBA,SAN,28,185,84,Georgia Tech,US,,,,31,6.1,5.5,2.1,,0.21,0.79,,,,2016-2017
Alysha Clark,WNBA,SEA,30,180,76,Middle Tennessee,US,,,,30,8.1,4.2,1.7,,0.23,0.77,,,,2016-2017
Bria Holmes,WNBA,ATL,23,185,77,West Virginia,US,,,,28,8.4,3,1.9,,0.34,0.66,,,,2016-2017
Camille Little,WNBA,PHO,32,188,82,North Carolina,US,,,,30,7.6,3.8,1.4,,0.37,0.63,,,,2016-2017
Kelsey Plum,WNBA,SAN,23,173,66,Washington,US,,,,28,8,1.9,3.3,,0.21,0.79,,,,2016-2017
Kia Vaughn,WNBA,NY,30,193,90,Rutgers,US,,,,23,5.8,4.8,0.7,,0.35,0.65,,,,2016-2017
Leilani Mitchell,WNBA,PHO,32,165,58,Utah,US,,,,30,7.8,2.3,3.6,,0.17,0.83,,,,2016-2017
Alana Beard,WNBA,LA,35,185,73,Duke,US,,,,30,7.2,3.4,2.4,,0.19,0.81,,,,2016-2017
Bria Hartley,WNBA,NY,24,173,66,Connecticut,US,,,,29,7.5,2,2,,0.12,0.88,,,,2016-2017
Jantel Lavender,WNBA,LA,28,193,84,Ohio State,US,,,,28,7.1,3.1,1,,0.36,0.64,,,,2016-2017
Keisha Hampton,WNBA,CHI,27,185,78,DePaul,US,,,,30,6.9,3.2,0.8,,0.38,0.62,,,,2016-2017
Kiah Stokes,WNBA,NY,24,191,87,Connecticut,US,,,,29,4.9,6.4,0.7,,0.34,0.66,,,,2016-2017
